db_source,timestamp_utc,asset,leaf_id,direction,wr_reported,n_reported,open,high,low,close,rsi_5,stoch_k_v2,stoch_d_v2,bb_upper,bb_middle,bb_lower,bb_width_bps,ma6,ma14,ma_trend_bps,close_to_lower,close_to_upper,schaff_value,stc_zone,bb_position,stc_stoch_diff,stoch_kd_diff,exit_2m,pnl_2m,win_2m
trading_data.db,2026-04-25T13:16:00.000Z,USDDZD_otc,L41,PUT,0.760000,50,131.672000,131.695000,131.637000,131.642000,0,11.944598,40.483448,131.791378,131.667900,131.544422,18.755941,131.721667,131.697071,1.867562,7.410901,11.345041,99.239484,overbought,0.395123,87.294886,-28.538850,131.639000,460,1
trading_data.db,2026-04-25T13:20:00.000Z,USDDZD_otc,L65,PUT,0.637800,323,131.710000,131.716000,131.674000,131.716000,67.187500,56.315562,30.586370,131.787618,131.685100,131.582582,15.570189,131.671667,131.705143,-2.541753,10.131602,5.438588,94.005740,overbought,0.650705,37.690178,25.729192,131.617000,460,1
trading_data.db,2026-04-25T14:31:00.000Z,USDDZD_otc,L16,CALL,0.686000,86,131.249000,131.267000,131.215000,131.259000,1.595745,10.833333,11.596199,131.601791,131.443150,131.284509,24.138317,131.346000,131.418286,-5.500430,-1.940701,26.079017,8.060824,oversold,-0.080399,-2.772509,-0.762866,131.353000,460,1
trading_data.db,2026-04-25T14:34:00.000Z,USDDZD_otc,L65,PUT,0.637800,323,131.357000,131.408000,131.355000,131.379000,57.446809,60.518519,31.657407,131.597620,131.417650,131.237680,27.389061,131.308000,131.378429,-5.360741,10.753525,16.635536,1.932930,oversold,0.392621,-58.585589,28.861111,131.261000,460,1
trading_data.db,2026-04-25T15:45:00.000Z,USDDZD_otc,L41,PUT,0.760000,50,131.839000,131.858000,131.792000,131.792000,0,5.962060,23.411967,131.991403,131.778550,131.565697,32.304718,131.886667,131.830429,4.265942,17.173011,15.131707,99.925356,overbought,0.531595,93.963297,-17.449908,131.786000,460,1
trading_data.db,2026-04-25T15:50:00.000Z,USDDZD_otc,L65,PUT,0.637800,323,131.888000,131.891000,131.816000,131.820000,65.217391,66.666667,33.893557,131.976061,131.822850,131.669639,23.245033,131.829333,131.864429,-2.661464,11.406317,11.838716,43.791601,neutral,0.490699,-22.875066,32.773109,131.884000,-500,0
trading_data.db,2026-04-25T06:03:00.000Z,USDEGP_otc,L41,PUT,0.760000,50,47.534370,47.535190,47.533910,47.534090,9.905660,2.061856,21.244872,47.536545,47.534293,47.532040,0.947853,47.535318,47.534777,0.113851,0.431325,0.516527,0.008413,oversold,0.455055,-2.053443,-19.183016,47.534480,-500,0
trading_data.db,2026-04-25T11:55:00.000Z,USDEGP_otc,L65,PUT,0.637800,323,47.520160,47.520240,47.519540,47.519670,64.238411,66.666667,37.726650,47.521425,47.519980,47.518534,0.608473,47.519233,47.519913,-0.142998,0.239106,0.369367,10.491288,oversold,0.392961,-56.175379,28.940017,47.519350,460,1
trading_data.db,2026-04-25T13:01:00.000Z,USDEGP_otc,L65,PUT,0.637800,323,47.522530,47.523210,47.522050,47.523210,64.285714,67.498566,37.816631,47.527511,47.524007,47.520503,1.474565,47.522217,47.523016,-0.168139,0.569578,0.904987,0.013127,oversold,0.386268,-67.485439,29.681934,47.522340,460,1
trading_data.db,2026-04-25T13:02:00.000Z,USDEGP_otc,L65,PUT,0.637800,323,47.523170,47.523630,47.522870,47.522870,92.028986,97.619048,67.980410,47.527062,47.523817,47.520573,1.365595,47.522370,47.522929,-0.117688,0.483424,0.882171,0.007902,oversold,0.354002,-97.611145,29.638637,47.522320,460,1
trading_data.db,2026-04-25T14:13:00.000Z,USDEGP_otc,L41,PUT,0.760000,50,47.513770,47.513950,47.512650,47.512920,0,26.696165,57.585796,47.516158,47.512891,47.509624,1.375352,47.514857,47.513361,0.314849,0.693779,0.681572,99.998733,overbought,0.504438,73.302567,-30.889630,47.513530,-500,0
trading_data.db,2026-04-25T14:14:00.000Z,USDEGP_otc,L41,PUT,0.760000,50,47.512920,47.513620,47.512620,47.512780,0,0,27.777778,47.516153,47.512976,47.509798,1.337455,47.514432,47.513502,0.195634,0.627581,0.709874,99.999236,overbought,0.469235,99.999236,-27.777778,47.513060,-500,0
trading_data.db,2026-04-25T15:47:00.000Z,USDEGP_otc,L41,PUT,0.760000,50,47.513560,47.513840,47.512740,47.512960,15.094340,38.600465,60.311708,47.515112,47.512249,47.509387,1.205049,47.514112,47.512729,0.291100,0.752065,0.452984,95.363067,overbought,0.624095,56.762602,-21.711243,47.513880,-500,0
